"","Symbol","Uniprot","entrez"
"673","HDAC7","Q8WUI4",51564
"674","CCNB3","Q8WWL7",85417
"675","MYO3B","Q8WXR4",140469
"676","PIK3R5","Q8WYR1",23533
"677","NCSTN","Q92542",23385
"678","ESR2","Q92731",2100
"679","RORB","Q92753",6096
"680","HDAC2","Q92769",3066
"681","CDKL2","Q92772",8999
"682","BCL2L2","Q92843",599
"683","BCL2L2-PABPN1","Q92843",100529063
"684","COQ8B","Q96D53",79934
"685","SIRT1","Q96EB6",23411
"686","AURKB","Q96GD4",9212
"687","PBK","Q96KB5",55872
"688","EHMT2","Q96KQ7",10919
"689","MARK4","Q96L34",57787
"690","PRMT6","Q96LA8",55170
"691","SLC46A1","Q96NT5",113235
"692","CAMK1G","Q96NX5",57172
"693","QRFPR","Q96P65",84109
"694","DGAT2","Q96PD7",84649
"695","NOX5","Q96PH1",79400
"696","SMG1","Q96Q15",23049
"697","NR1H4","Q96RI1",9971
"698","SRPK1","Q96SB4",6732
"699","PSMB7","Q99436",5695
"700","LGMN","Q99538",5641
"701","P2RX7","Q99572",5027
"702","MCHR1","Q99705",2847
"703","SIGMAR1","Q99720",10280
"704","PIP5K1A","Q99755",8394
"705","MAP3K3","Q99759",4215
"706","SLC29A1","Q99808",2030
"707","SMO","Q99835",6608
"708","PRMT1","Q99873",3276
"709","SLC6A7","Q99884",6534
"710","CTRC","Q99895",11330
"711","TUBA1C","Q9BQE3",84790
"712","RIOK1","Q9BRS2",83732
"713","CRACR2A","Q9BSW2",84766
"714","ABHD6","Q9BV23",57406
"715","TUBB2B","Q9BVA1",347733
"716","CDK19","Q9BWU1",23097
"717","SUCNR1","Q9BXA5",56670
"718","HCAR1","Q9BXC0",27198
"719","ACE2","Q9BYF1",59272
"720","TPSD1","Q9BZJ3",23430
"721","PRKD2","Q9BZL6",25865
"722","NPFFR1","Q9GZQ6",64106
"723","SENP6","Q9GZR1",26054
"724","SLC5A7","Q9GZV3",60482
"725","NUAK2","Q9H093",81788
"726","MYLK2","Q9H1R3",85366
"727","S1PR5","Q9H228",53637
"728","P2RY12","Q9H244",64805
"729","SLK","Q9H2G2",9748
"730","SLC6A15","Q9H2J7",55117
"731","TAOK3","Q9H2K8",51347
"732","KCNN2","Q9H2S1",3781
"733","HIPK2","Q9H2X6",28996
"734","SLC12A5","Q9H2X9",57468
"735","HRH4","Q9H3N8",59340
"736","KDM4C","Q9H3R0",23081
"737","SRMS","Q9H3Y6",6725
"738","HIPK3","Q9H422",10114
"739","PLK3","Q9H4B4",1263
"740","ELOVL6","Q9H5J4",79071
"741","EGLN3","Q9H6Z9",112399
"742","PTGES2","Q9H7Z7",80142
"743","BRD9","Q9H8M2",65980
"744","CLK4","Q9HAZ1",57396
"745","TRPV4","Q9HBA0",59341
"746","PDF","Q9HBH1",64146
"747","MKNK2","Q9HBH9",2872
"748","RXFP1","Q9HBX9",59350
"749","APOBEC3G","Q9HC16",60489
"750","CBX8","Q9HC52",57332
"751","GBA2","Q9HCG7",57704
"752","CSNK1G1","Q9HCP0",53944
"753","SLC40A1","Q9NP59",30061
"754","TCF7L2","Q9NQB0",6934
"755","INCENP","Q9NQS7",3619
"756","PRMT8","Q9NR22",56341
"757","TLR9","Q9NR96",54106
"758","SPHK2","Q9NRA0",56848
"759","MMP26","Q9NRE1",56547
"760","SMYD2","Q9NRG4",56950
